SYSTEM          , CODE   , CODE-SCT
http://loinc.org, 59576-9, null    
http://loinc.org, 77606-2, null    
http://loinc.org, 72166-2, null    
http://loinc.org, 2708-6 , null    
http://loinc.org, 59408-5, null    
http://loinc.org, 9279-1 , 86290005
http://loinc.org, 8867-4 , null    
http://loinc.org, 8310-5 , null    
http://loinc.org, 8302-2 , null    
http://loinc.org, 9843-4 , null    
http://loinc.org, 8289-1 , null    
http://loinc.org, 29463-7, null    
http://loinc.org, 39156-5, null    
http://loinc.org, 85354-9, null    
http://loinc.org, 76690-7, null    
http://loinc.org, 93028-9, null    
http://loinc.org, 93025-5, null    
http://loinc.org, 69861-3, null    
http://loinc.org, 93027-1, null    
http://loinc.org, 81375-8, null    
http://loinc.org, 93034-7, null    
http://loinc.org, 68516-4, null    
http://loinc.org, 96782-8, null    
http://loinc.org, 93029-7, null    
http://loinc.org, 68517-2, null    
http://loinc.org, 96842-0, null    
http://loinc.org, 88123-5, null    
http://loinc.org, 76501-6, null    
http://loinc.org, 95618-5, null    
http://loinc.org, 93038-8, null    
http://loinc.org, 69858-9, null    
http://loinc.org, 93159-2, null    
http://loinc.org, 96780-2, null    
http://loinc.org, 44250-9, null    
http://loinc.org, 68524-8, null    
http://loinc.org, 88121-9, null    
http://loinc.org, 93026-3, null    
http://loinc.org, 82589-3, null    
http://loinc.org, 89555-7, null    
http://loinc.org, 96781-0, null    
http://loinc.org, 95530-2, null    
http://loinc.org, 56799-0, null    
http://loinc.org, 63586-2, null    
http://loinc.org, 96779-4, null    
http://loinc.org, 93677-3, null    
http://loinc.org, 63512-8, null    
http://loinc.org, 76437-3, null    
http://loinc.org, 88124-3, null    
http://loinc.org, 32624-9, null    
http://loinc.org, 97023-6, null    
http://loinc.org, 93035-4, null    
http://loinc.org, 54899-0, null    
http://loinc.org, 93033-9, null    
http://loinc.org, 93031-3, null    
http://loinc.org, 56051-6, null    
http://loinc.org, 88122-7, null    
http://loinc.org, 93030-5, null    
http://loinc.org, 97027-7, null    
http://loinc.org, 71802-3, null    
http://loinc.org, 44255-8, null    
http://loinc.org, 67875-5, null    
http://loinc.org, 76513-1, null    
http://loinc.org, 28245-9, null    
http://loinc.org, 63513-6, null    
http://loinc.org, 72098-7, null    
http://loinc.org, 71975-7, null    
http://loinc.org, 71958-3, null    
http://loinc.org, 76499-3, null    
http://loinc.org, 76504-0, null    
http://loinc.org, 93028-9, null    
http://loinc.org, 93025-5, null    
http://loinc.org, 69861-3, null    
http://loinc.org, 93027-1, null    
http://loinc.org, 81375-8, null    
http://loinc.org, 93034-7, null    
http://loinc.org, 68516-4, null    
http://loinc.org, 96782-8, null    
http://loinc.org, 93029-7, null    
http://loinc.org, 68517-2, null    
http://loinc.org, 96842-0, null    
http://loinc.org, 88123-5, null    
http://loinc.org, 76501-6, null    
http://loinc.org, 95618-5, null    
http://loinc.org, 93038-8, null    
http://loinc.org, 69858-9, null    
http://loinc.org, 93159-2, null    
http://loinc.org, 96780-2, null    
http://loinc.org, 44250-9, null    
http://loinc.org, 68524-8, null    
http://loinc.org, 88121-9, null    
http://loinc.org, 93026-3, null    
http://loinc.org, 82589-3, null    
http://loinc.org, 89555-7, null    
http://loinc.org, 96781-0, null    
http://loinc.org, 95530-2, null    
http://loinc.org, 56799-0, null    
http://loinc.org, 63586-2, null    
http://loinc.org, 96779-4, null    
http://loinc.org, 93677-3, null    
http://loinc.org, 63512-8, null    
http://loinc.org, 76437-3, null    
http://loinc.org, 88124-3, null    
http://loinc.org, 32624-9, null    
http://loinc.org, 97023-6, null    
http://loinc.org, 93035-4, null    
http://loinc.org, 54899-0, null    
http://loinc.org, 93033-9, null    
http://loinc.org, 93031-3, null    
http://loinc.org, 56051-6, null    
http://loinc.org, 88122-7, null    
http://loinc.org, 93030-5, null    
http://loinc.org, 97027-7, null    
http://loinc.org, 71802-3, null    
http://loinc.org, 44255-8, null    
http://loinc.org, 67875-5, null    
http://loinc.org, 76513-1, null    
http://loinc.org, 28245-9, null    
http://loinc.org, 63513-6, null    
http://loinc.org, 72098-7, null    
http://loinc.org, 71975-7, null    
http://loinc.org, 71958-3, null    
http://loinc.org, 76499-3, null    
http://loinc.org, 76504-0, null    
